City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,bandar,2.05,99.75,25.0,94,96,0.47,ID,1715081493
216,susuman,62.7833,148.1667,0.55,75,98,2.24,RU,1715081493
217,umm kaddadah,13.6017,26.6876,40.06,7,0,8.04,SD,1715081493
218,manokwari,-0.8667,134.0833,26.66,82,100,2.15,ID,1715081493
219,brookings,44.3114,-96.7984,12.43,95,75,7.2,US,1715081256
220,bethanie,-26.4833,17.15,31.38,14,1,7.84,NA,1715081494
221,nelson bay,-32.7167,152.15,18.89,88,66,5.07,AU,1715081494
222,galveston,29.3669,-94.9669,26.11,88,100,6.17,US,1715081568
223,tazovsky,67.4667,78.7,-5.98,90,87,1.66,RU,1715081494
224,pahrump,36.2083,-115.9839,15.17,27,80,2.41,US,1715081494
225,nago,26.5881,127.9761,24.47,76,100,3.22,JP,1715081494
226,woolgoolga,-30.1106,153.2007,15.93,76,83,5.94,AU,1715081494
227,smithers,54.7804,-127.1743,-0.82,86,75,1.54,CA,1715081495
228,port alfred,-33.5906,26.891,26.21,67,0,0.45,ZA,1715081495
229,ghat,24.9647,10.1728,39.78,9,53,8.22,LY,1715081495
230,nuku'alofa,-21.1333,-175.2,25.19,88,75,2.57,TO,1715081495
231,san juan de miraflores,-12.1629,-76.9635,18.98,86,100,2.48,PE,1715081495
232,ad dabbah,18.05,30.95,38.49,8,0,7.49,SD,1715081495
233,kailua-kona,19.6406,-155.9956,22.98,83,100,2.06,US,1715081495
234,wotho,10.1657,166.0102,27.64,81,90,8.35,MH,1715081495
235,la sarre,48.8002,-79.1996,3.67,88,23,1.58,CA,1715081309
236,troitskoye,52.9821,84.6757,15.78,50,63,2.42,RU,1715081496
237,berdigestyakh,62.0989,126.6992,3.38,88,100,5.2,RU,1715081496
238,mahibadhoo,3.7833,72.9667,29.8,74,55,5.13,MV,1715081496
239,pucallpa,-8.3791,-74.5539,26.02,94,75,1.03,PE,1715081496
240,chonchi,-42.6128,-73.8092,3.4,97,100,0.9,CL,1715081496
241,tadine,-21.55,167.8833,21.29,70,8,4.21,NC,1715081496
